SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
355,RHYG57,,RH_RD_107,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Yellow Gold,14K,5.07,,1199,,767,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG57/RHYG57-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG57/RHYG57-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG57/RHYG57-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG57/RHYG57-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG57/RHYG57-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG57/RHYG57-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,92,0.009,0.009,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,RHWG57,RHWG57,RH_RD_107,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,White Gold,14K,5.07,,1199,,767,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG57/RHWG57-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG57/RHWG57-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG57/RHWG57-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG57/RHWG57-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG57/RHWG57-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG57/RHWG57-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,92,0.009,0.009,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,RHRG57,RHWG57,RH_RD_107,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Rose Gold,14K,5.07,,1199,,767,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,92,0.009,0.009,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,RHYG59,,RH_RD_112,Rings,Engagement Rings,,Center,Round,,,Halo,,0.6,1.3,,,Yellow Gold,14K,4.11,,1011,,636,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,84,0.009,0.015,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,RHWG59,RHWG59,RH_RD_112,Rings,Engagement Rings,,Center,Round,,,Halo,,0.6,1.3,,,White Gold,14K,4.11,,1011,,636,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,84,0.009,0.015,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
